name,email,class,school,total-score,address,phone
"Jerod Ruecker DDS",kmacejkovic@gmail.com,8,"Consectetur illum libero autem aut rerum.",5,"558 Mueller Path
Izabellatown, OR 47303",+1.843.787.0371
"Myriam Adams",twuckert@tillman.com,3,"Occaecati quasi maxime nobis neque nostrum.",5,"1721 Nader Roads
New Xandershire, ND 18969",864.881.3040
"Keanu Marks",arvid.hirthe@abbott.com,8,"Id quas omnis iste atque.",7,"1431 Fahey Turnpike Suite 676
Jeanneton, AR 12457",+1.404.960.7460
"Augustine Legros",quitzon.esther@wilderman.net,2,"Impedit eum ipsum neque in et repellat est aut.",3,"777 Goyette Fields
East Levihaven, KS 09479-9441",+1-747-695-7475
"Viola Wolff",lucy27@leuschke.com,0,"Dolor ea ad dignissimos ut aperiam temporibus.",8,"925 Morris Ports Apt. 816
Walshbury, VA 45110-1221",279-254-9584
"Waldo Beatty",lavern36@yahoo.com,1,"Alias esse est qui possimus.",5,"9995 Dennis Plaza Apt. 536
South Winona, AL 04245",+12726021588
"Skylar Romaguera",lbernier@gerlach.com,5,"Sed consequatur voluptatem quod aut.",5,"17611 Cortez Fork Suite 075
South Buster, MT 72861",+1-479-353-3657
"Alvina Lowe",wklocko@yahoo.com,5,"Tempora et nesciunt odit est nihil quisquam.",1,"390 Moen Point
East Ana, NJ 25125-9850",1-540-925-7977
"Kendra Macejkovic",egibson@sawayn.com,6,"Et commodi libero vero et odit.",5,"72278 Weimann Route Apt. 459
East Leanne, MI 32053",+1-309-939-3753
"Novella Reichel",zfahey@gmail.com,4,"Id rerum quis at enim dolores.",5,"2164 Dylan Crest Apt. 867
West Arturoshire, ME 96624-7944",+1-980-890-0111
